card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
CFBGAEJIH,2018-09-01 08:08:04,地铁入站,0,0,268025116,地铁一号线,桃园,AGT-116,0,2018-09-01 00:00:00
BEBABJABG,2018-09-01 08:08:18,地铁出站,150,300,268023129,地铁一号线,,,0,2018-09-01 00:00:00
CFBGHFIEI,2018-09-01 08:08:25,地铁入站,0,0,268033113,地铁一号线,西乡,OGT-113,0,2018-09-01 00:00:00
FHEIJEGIJ,2018-09-01 08:08:09,地铁出站,285,300,268026101,地铁一号线,大新,OGT-101,0,2018-09-01 00:00:00
FFECAEHFD,2018-09-01 08:08:09,地铁出站,665,700,268024126,地铁一号线,,,0,2018-09-01 00:00:00
FIJGGGEJC,2018-09-01 08:08:09,地铁出站,475,500,268024124,地铁一号线,,,0,2018-09-01 00:00:00
FFJGJJHCG,2018-09-01 08:08:32,地铁出站,380,400,268004129,地铁一号线,大剧院站,OGT-129,0,2018-09-01 00:00:00
FHHGCDHCC,2018-09-01 08:08:21,地铁出站,570,600,268013128,地铁一号线,竹子林站,"IGT-128 ",0,2018-09-01 00:00:00
CBFGEAJHH,2018-09-01 08:08:01,地铁出站,245,300,268034110,地铁一号线,固戍,OGT-110,1,2018-09-01 00:00:00
BIAJBGJDF,2018-09-01 08:08:15,地铁入站,0,0,268033123,地铁一号线,,,0,2018-09-01 00:00:00
FHGFDBBDC,2018-09-01 08:08:17,地铁入站,0,0,268007114,地铁一号线,岗厦站,IGT-114,0,2018-09-01 00:00:00
CFAAJDDDG,2018-09-01 08:08:24,地铁入站,0,0,268032113,地铁一号线,坪洲,IGT-113,0,2018-09-01 00:00:00
CCJCEHGFF,2018-09-01 08:08:18,地铁出站,435,500,268016108,地铁一号线,世界之窗站,OGT-108,1,2018-09-01 00:00:00
FIACBJJJD,2018-09-01 08:08:07,地铁出站,285,300,268030127,地铁一号线,宝安中心,OGT-127,0,2018-09-01 00:00:00
CBJJCEAHB,2018-09-01 08:07:53,地铁出站,475,500,268027104,地铁一号线,鲤鱼门,OGT-104,0,2018-09-01 00:00:00
FHIADDBHI,2018-09-01 08:08:38,地铁入站,0,0,268022119,地铁一号线,白石洲,AGM-119,0,2018-09-01 00:00:00
FHHCEEHCE,2018-09-01 08:08:13,地铁入站,0,0,268024121,地铁一号线,,,0,2018-09-01 00:00:00
FHEFIEEJE,2018-09-01 08:08:24,地铁入站,0,0,268022113,地铁一号线,白石洲,AGM-113,0,2018-09-01 00:00:00
FHICAGAJH,2018-09-01 08:08:09,地铁入站,0,0,268032127,地铁一号线,,,0,2018-09-01 00:00:00
BIBBGIIDF,2018-09-01 08:08:37,地铁入站,0,0,268032119,地铁一号线,,,0,2018-09-01 00:00:00
CBJIIHDEE,2018-09-01 08:08:45,地铁出站,285,300,268013108,地铁一号线,竹子林站,"IGT-108 ",0,2018-09-01 00:00:00
FHFBAIDGB,2018-09-01 08:08:54,地铁入站,0,0,268022114,地铁一号线,白石洲,AGM-114,0,2018-09-01 00:00:00
CFAAHBDGC,2018-09-01 08:08:35,地铁出站,285,300,268013110,地铁一号线,竹子林站,"IGT-110 ",0,2018-09-01 00:00:00
CFBAGBAEE,2018-09-01 08:08:38,地铁出站,475,500,268004131,地铁一号线,大剧院站,OGT-131,0,2018-09-01 00:00:00
EJFBBIAG,2018-09-01 08:08:51,地铁出站,150,300,268026110,地铁一号线,大新,OGT-110,0,2018-09-01 00:00:00
FFEBCAIDF,2018-09-01 08:12:28,地铁出站,285,300,261032120,地铁三号线,双龙,AGM-120,0,2018-09-01 00:00:00
FFFDBDBHE,2018-09-01 08:13:07,地铁入站,0,0,261028102,地铁三号线,爱联,AGM-102,0,2018-09-01 00:00:00
FFECHCGCJ,2018-09-01 08:13:07,地铁入站,0,0,261023114,地铁三号线,塘坑,AGM-114,0,2018-09-01 00:00:00
FHIEIEAAB,2018-09-01 08:02:07,地铁出站,625,700,268027103,地铁一号线,鲤鱼门,OGT-103,1,2018-09-01 00:00:00
FFJIHGHFH,2018-09-01 08:02:33,地铁入站,0,0,268025113,地铁一号线,桃园,IGT-113,0,2018-09-01 00:00:00
FHIGDCDHI,2018-09-01 08:13:18,地铁入站,0,0,261029102,地铁三号线,吉祥,AGM-102,0,2018-09-01 00:00:00
CBIECEIEI,2018-09-01 08:13:23,地铁入站,0,0,261020117,地铁三号线,大芬,AGM-117,0,2018-09-01 00:00:00
CFCBICAEC,2018-09-01 08:13:28,地铁入站,0,0,261026118,地铁三号线,荷坳,AGM-118,0,2018-09-01 00:00:00
CBIDIJDFC,2018-09-01 08:03:01,地铁入站,0,0,268004136,地铁一号线,大剧院站,IGT-136,0,2018-09-01 00:00:00
FIJGDEECE,2018-09-01 08:03:11,地铁入站,0,0,268034104,地铁一号线,固戍,AGT-104,0,2018-09-01 00:00:00
CCADHAFID,2018-09-01 08:02:47,地铁出站,475,500,268001105,地铁一号线,罗湖站,AGT-105,0,2018-09-01 00:00:00
FFHCDFCGG,2018-09-01 08:13:57,地铁入站,0,0,261021102,地铁三号线,丹竹头,AGM-102,0,2018-09-01 00:00:00
FIHDCJFHB,2018-09-01 08:03:10,地铁入站,0,0,268026119,地铁一号线,大新,IGT-119,0,2018-09-01 00:00:00
FFIACCEFJ,2018-09-01 08:03:14,地铁出站,285,300,268023139,地铁一号线,,,0,2018-09-01 00:00:00
FHDCJGBGB,2018-09-01 08:03:15,地铁入站,0,0,268005140,地铁一号线,,,0,2018-09-01 00:00:00
CCACDAAFC,2018-09-01 08:03:22,地铁入站,0,0,268007114,地铁一号线,岗厦站,IGT-114,0,2018-09-01 00:00:00
HHJJJHHGG,2018-09-01 08:03:17,地铁入站,0,0,268027110,地铁一号线,鲤鱼门,AGT-110,0,2018-09-01 00:00:00
BIBFJGEIG,2018-09-01 08:14:25,地铁出站,285,300,261022118,地铁三号线,六约,AGM-118,0,2018-09-01 00:00:00
FHIFEGEID,2018-09-01 08:14:27,地铁入站,0,0,261004102,地铁三号线,石厦,AGM-102,0,2018-09-01 00:00:00
CFHABJEDB,2018-09-01 08:03:34,地铁入站,0,0,268034105,地铁一号线,固戍,IGT-105,0,2018-09-01 00:00:00
FIJGEFEEF,2018-09-01 08:03:57,地铁入站,0,0,268030122,地铁一号线,宝安中心,IGT-122,0,2018-09-01 00:00:00
FIJBGHCAD,2018-09-01 08:03:57,地铁入站,0,0,268034118,地铁一号线,,,0,2018-09-01 00:00:00
CBGDDAJED,2018-09-01 08:03:32,地铁入站,0,0,268033112,地铁一号线,西乡,OGT-112,0,2018-09-01 00:00:00
FFFBBJBDJ,2018-09-01 08:04:35,地铁出站,285,300,268009103,地铁一号线,购物公园站,OGT-103,0,2018-09-01 00:00:00
FIJBDJCFA,2018-09-01 08:04:15,地铁入站,0,0,268033112,地铁一号线,西乡,OGT-112,0,2018-09-01 00:00:00
FHEFBDIHA,2018-09-01 08:04:51,地铁出站,190,200,268006131,地铁一号线,,,0,2018-09-01 00:00:00
CBAIGGAJC,2018-09-01 08:05:10,地铁出站,285,300,268025109,地铁一号线,桃园,OGT-109,0,2018-09-01 00:00:00
FFGDHBFCF,2018-09-01 08:05:20,地铁出站,570,600,268026109,地铁一号线,大新,OGT-109,0,2018-09-01 00:00:00
FHFCJFCCI,2018-09-01 08:05:29,地铁入站,0,0,268006122,地铁一号线,华强路站,AGT-122,0,2018-09-01 00:00:00
FIJDIJAGG,2018-09-01 08:05:45,地铁入站,0,0,268022119,地铁一号线,白石洲,AGM-119,0,2018-09-01 00:00:00
FFJBFADIF,2018-09-01 08:05:42,地铁入站,0,0,268022119,地铁一号线,白石洲,AGM-119,0,2018-09-01 00:00:00
FIADDEJAC,2018-09-01 08:05:24,地铁出站,475,500,268034114,地铁一号线,固戍,OGT-114,0,2018-09-01 00:00:00
FHEABEAEC,2018-09-01 08:05:30,地铁出站,570,600,268026108,地铁一号线,大新,OGT-108,0,2018-09-01 00:00:00
FHEHFBHEE,2018-09-01 08:05:48,地铁入站,0,0,268032126,地铁一号线,,,0,2018-09-01 00:00:00
BIJICAHFB,2018-09-01 08:06:05,地铁入站,0,0,268036108,地铁一号线,机场东,OGT-108,0,2018-09-01 00:00:00
FFIJHDHHC,2018-09-01 08:06:26,地铁入站,0,0,268034118,地铁一号线,,,0,2018-09-01 00:00:00
BICEDEGFH,2018-09-01 08:06:57,地铁入站,0,0,268022121,地铁一号线,白石洲,AGM-121,0,2018-09-01 00:00:00
FFHEEFHIG,2018-09-01 08:07:01,地铁入站,0,0,268022121,地铁一号线,白石洲,AGM-121,0,2018-09-01 00:00:00
FHGFHBJIH,2018-09-01 08:06:50,地铁入站,0,0,268016152,地铁一号线,世界之窗站,IGT-152,0,2018-09-01 00:00:00
FIAJFIFHG,2018-09-01 08:07:18,地铁出站,475,500,268007105,地铁一号线,岗厦站,OGT-105,0,2018-09-01 00:00:00
CBCHDFDGF,2018-09-01 08:07:16,地铁入站,0,0,268002127,地铁一号线,,,0,2018-09-01 00:00:00
FFIJCBIFB,2018-09-01 08:07:30,地铁出站,475,500,268008138,地铁一号线,会展中心站,IGT-138,0,2018-09-01 00:00:00
FHGDGEGFF,2018-09-01 08:07:38,地铁出站,475,500,268007103,地铁一号线,岗厦站,OGT-103,0,2018-09-01 00:00:00
CFABGHJBI,2018-09-01 08:07:39,地铁入站,0,0,268035113,地铁一号线,后瑞,IGT-113,0,2018-09-01 00:00:00
FIJFCJCCA,2018-09-01 08:07:39,地铁入站,0,0,268034118,地铁一号线,,,0,2018-09-01 00:00:00
FHIGCDCDB,2018-09-01 08:08:03,地铁入站,0,0,268001113,地铁一号线,罗湖站,OGT-113,0,2018-09-01 00:00:00
FHIGCFCAA,2018-09-01 08:08:05,地铁入站,0,0,268033122,地铁一号线,,,0,2018-09-01 00:00:00
FFGJCJJFC,2018-09-01 08:08:04,地铁入站,0,0,268032113,地铁一号线,坪洲,IGT-113,0,2018-09-01 00:00:00
FFFJAIFBE,2018-09-01 08:08:17,地铁出站,475,500,268004129,地铁一号线,大剧院站,OGT-129,0,2018-09-01 00:00:00
FFIAABIJI,2018-09-01 08:07:19,地铁入站,0,0,268036110,地铁一号线,机场东,OGT-110,0,2018-09-01 00:00:00
FHHHJBIJE,2018-09-01 08:08:33,地铁入站,0,0,268034108,地铁一号线,固戍,IGT_108,0,2018-09-01 00:00:00
FHHCDFEFG,2018-09-01 08:08:13,地铁入站,0,0,268033112,地铁一号线,西乡,OGT-112,0,2018-09-01 00:00:00
FHGBAGGAG,2018-09-01 08:01:13,地铁入站,0,0,268035113,地铁一号线,后瑞,IGT-113,0,2018-09-01 00:00:00
FHFBHIICF,2018-09-01 08:01:17,地铁出站,285,300,268005120,地铁一号线,科学馆站,IGT-120,0,2018-09-01 00:00:00
FFEJCDJBB,2018-09-01 08:01:36,地铁出站,285,300,268024125,地铁一号线,,,0,2018-09-01 00:00:00
FFFJAJHDD,2018-09-01 08:12:24,地铁入站,0,0,261028102,地铁三号线,爱联,AGM-102,0,2018-09-01 00:00:00
GJJJAIDIE,2018-09-01 08:12:21,地铁出站,190,200,261010129,地铁三号线,通新岭,AGM-129,0,2018-09-01 00:00:00
FIAFGHCEB,2018-09-01 08:01:36,地铁入站,0,0,268001138,地铁一号线,罗湖站,OGT-138,0,2018-09-01 00:00:00
CCABFCJHD,2018-09-01 08:02:04,地铁出站,475,500,268024110,地铁一号线,深圳大学,AGM-110,0,2018-09-01 00:00:00
FHHBCAFGA,2018-09-01 08:12:48,地铁入站,0,0,261004102,地铁三号线,石厦,AGM-102,0,2018-09-01 00:00:00
FFHEFHDFB,2018-09-01 08:02:24,地铁出站,570,600,268026102,地铁一号线,大新,OGT-102,0,2018-09-01 00:00:00
FFFFAIJGE,2018-09-01 08:02:11,地铁入站,0,0,268031101,地铁一号线,宝体,OGT-101,0,2018-09-01 00:00:00
BICFCECJD,2018-09-01 08:02:03,地铁入站,0,0,268032127,地铁一号线,,,0,2018-09-01 00:00:00
FIAAAEIIB,2018-09-01 08:13:06,地铁入站,0,0,261020117,地铁三号线,大芬,AGM-117,0,2018-09-01 00:00:00
FFGAEFCGJ,2018-09-01 08:13:02,地铁出站,285,300,261024107,地铁三号线,横岗,AGM-107,0,2018-09-01 00:00:00
FIAJCAEHH,2018-09-01 08:13:15,地铁入站,0,0,261005110,地铁三号线,购物公园,AGM-110,0,2018-09-01 00:00:00
CFHEDBHBF,2018-09-01 08:02:50,地铁入站,0,0,268026116,地铁一号线,大新,AGT-116,0,2018-09-01 00:00:00
BIAFJHAJI,2018-09-01 08:03:12,地铁出站,285,300,268001106,地铁一号线,罗湖站,AGT-106,0,2018-09-01 00:00:00
BEAFEAEEB,2018-09-01 08:03:00,地铁入站,0,0,268026116,地铁一号线,大新,AGT-116,0,2018-09-01 00:00:00
CFCJGJFIA,2018-09-01 08:03:20,地铁入站,0,0,268034108,地铁一号线,固戍,IGT_108,0,2018-09-01 00:00:00
CCJHIFJFC,2018-09-01 08:03:00,地铁出站,665,700,268026108,地铁一号线,大新,OGT-108,0,2018-09-01 00:00:00
FHIDHIICG,2018-09-01 08:14:20,地铁入站,0,0,261021102,地铁三号线,丹竹头,AGM-102,0,2018-09-01 00:00:00
FHHIAFAGJ,2018-09-01 08:14:05,地铁入站,0,0,261020102,地铁三号线,大芬,AGM-102,0,2018-09-01 00:00:00
BIDGFBGHH,2018-09-01 08:03:28,地铁入站,0,0,268035108,地铁一号线,后瑞,IGT-108,0,2018-09-01 00:00:00
FFFAHAEGG,2018-09-01 08:03:33,地铁出站,475,500,268023136,地铁一号线,,,0,2018-09-01 00:00:00
BIADAJDIF,2018-09-01 08:14:41,地铁出站,855,900,261027107,地铁三号线,大运,AGM-107,0,2018-09-01 00:00:00
