favorites	genres	type	episodes	year
continuous	string	Movie Music ONA OVA PV Special TV TV\ Special	1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 11.0 12.0 13.0 14.0 15.0 16.0 17.0 20.0 22.0 23.0 24.0 25.0 26.0 27.0 28.0 30.0 33.0 36.0 37.0 39.0 40.0 43.0 47.0 48.0 50.0 51.0 52.0 54.0 59.0 62.0 64.0 70.0 74.0 75.0 77.0 78.0 79.0 94.0 96.0 99.0 101.0 110.0 112.0 120.0 148.0 175.0 201.0 209.0 237.0 291.0 500.0	1970.0 1979.0 1980.0 1986.0 1989.0 1990.0 1992.0 1993.0 1995.0 1996.0 1997.0 1998.0 1999.0 2000.0 2002.0 2003.0 2004.0 2005.0 2006.0 2007.0 2008.0 2009.0 2010.0 2011.0 2012.0 2013.0 2014.0 2015.0 2016.0 2017.0 2018.0 2019.0 2020.0 2021.0 2022.0 2023.0 2024.0 2025.0 2026.0
class	meta			
85889	Adventure, Drama, Fantasy	TV	28.0	2023.0
5476	Adventure, Drama, Fantasy	TV	10.0	2026.0
240910	Action, Adventure, Drama, Fantasy	TV	64.0	2009.0
12097	Action, Fantasy	Movie	1.0	
201170	Drama, Sci-Fi, Suspense	TV	24.0	2011.0
62801	Action, Drama, Suspense	TV	10.0	2019.0
17445	Action, Comedy, Sci-Fi	TV	51.0	2015.0
4638	Action, Comedy, Drama, Sci-Fi	Movie	1.0	
227808	Action, Adventure, Fantasy	TV	148.0	2011.0
2538	Action, Adventure, Fantasy	TV Special	1.0	
8569	Action, Comedy, Sci-Fi	TV	51.0	2011.0
3168	Action, Comedy, Sci-Fi	TV	13.0	2012.0
17689	Drama, Sci-Fi	OVA	110.0	
2830	Action, Comedy, Sci-Fi	TV	12.0	2017.0
23059	Action, Adventure, Supernatural	TV	13.0	2022.0
33031	Comedy, Romance	TV	13.0	2022.0
21281	Drama, Romance, Supernatural	TV	13.0	2021.0
73639	Drama, Romance	TV	24.0	2008.0
61656	Action, Comedy, Sci-Fi	TV	201.0	2006.0
95435	Award Winning, Drama	Movie	1.0	
7352	Drama, Mystery	TV	24.0	2025.0
80801	Award Winning, Drama, Sci-Fi	TV	25.0	2008.0
15394	Drama	TV	22.0	2017.0
2150	Action, Comedy, Sci-Fi	Movie	1.0	
61307	Drama, Mystery, Suspense	TV	74.0	2004.0
1093	Action, Comedy, Sci-Fi	TV	14.0	2018.0
17226	Action, Drama, Suspense	TV Special	2.0	
9113	Comedy, Mystery, Supernatural	TV Special	7.0	
27026	Drama, Mystery	TV	24.0	2023.0
2746	Action	TV	26.0	2020.0
9723	Award Winning, Drama	Movie	1.0	
592	Action, Drama, Suspense	Movie	1.0	
95056	Award Winning, Drama	Movie	1.0	
20117	Action, Adventure, Drama	TV	24.0	2023.0
1234	Action, Comedy, Sci-Fi	TV	12.0	2018.0
33760	Action, Comedy, Supernatural	TV	13.0	2019.0
8162	Action, Mystery, Supernatural	Movie	1.0	
3331	Drama, Sports	TV	47.0	1980.0
53900	Action, Drama, Suspense	TV	16.0	2021.0
56546	Action, Adventure, Drama	TV	24.0	2019.0
24996	Sports	TV	75.0	2000.0
15969	Sports	TV	10.0	2016.0
34953	Adventure, Award Winning, Fantasy	Movie	1.0	
32211	Action, Drama, Suspense	TV	12.0	2022.0
6138	Drama, Sci-Fi	ONA	6.0	
24261	Comedy, Mystery, Romance, Supernatural	TV	26.0	2013.0
89098	Action, Award Winning, Sci-Fi	TV	26.0	1998.0
2644	Action	TV	11.0	2025.0
617	Action	TV	13.0	2024.0
36103	Comedy	TV	12.0	2022.0
1195	Action	TV	26.0	2022.0
249284	Action, Adventure, Fantasy	TV		1999.0
2320	Comedy, Drama, Romance	Movie	1.0	
2086	Drama	TV	13.0	2024.0
1580	Adventure, Mystery, Slice of Life, Supernatural	TV	10.0	2014.0
18287	Drama, Sci-Fi	TV	12.0	2021.0
7028	Drama	TV	25.0	2024.0
116405	Award Winning, Drama, Sci-Fi	TV	25.0	2006.0
12469	Action, Comedy, Supernatural	TV	12.0	2022.0
14746	Drama, Mystery, Suspense	ONA	11.0	
25893	Action, Supernatural	TV	23.0	2023.0
6065	Comedy, Romance	TV	13.0	2024.0
336		Music	1.0	
5039	Action, Adventure, Supernatural	TV	13.0	2023.0
1053	Award Winning, Sports	Movie	1.0	
25152	Action, Supernatural	TV	11.0	2022.0
458	Action	TV	13.0	2025.0
638	Drama	TV	13.0	2026.0
4972	Action	ONA	24.0	
3239	Drama	TV	12.0	2017.0
68588	Drama	TV	13.0	2018.0
6447	Action, Drama, Romance	OVA	4.0	
3319	Action, Supernatural	Movie	1.0	
1643	Adventure, Mystery, Slice of Life, Supernatural	TV	10.0	2014.0
28580	Comedy	TV	43.0	1999.0
503	Drama, Sports	TV	10.0	2025.0
3642	Action, Adventure, Supernatural	TV	14.0	2024.0
1944	Sports	TV	26.0	2009.0
31572	Adventure, Award Winning, Drama, Fantasy, Romance	Movie	1.0	
24069	Action, Adventure, Award Winning, Fantasy	Movie	1.0	
1736	Action, Adventure, Drama, Fantasy, Mystery	ONA	12.0	
884	Comedy, Mystery, Supernatural	ONA	14.0	
28265	Adventure, Mystery, Slice of Life, Supernatural	TV	26.0	2005.0
894	Sports	Movie	1.0	
84462	Adventure, Award Winning, Sci-Fi	TV	27.0	2007.0
2136	Drama, Mystery, Suspense	ONA	12.0	
89631	Drama, Romance	TV	22.0	2014.0
1292	Action, Adventure, Drama, Fantasy	ONA	12.0	
22272	Action, Drama, Suspense	TV	12.0	2018.0
47563	Adventure, Drama, Fantasy, Mystery, Sci-Fi	TV	13.0	2017.0
8482	Action, Fantasy	Movie	1.0	
2109	Slice of Life, Supernatural	TV	13.0	2012.0
17356	Award Winning, Drama, Sports	TV	11.0	2014.0
9123	Award Winning, Drama, Mystery, Suspense	TV	13.0	2021.0
65	Adventure, Drama, Fantasy	Movie	1.0	
4739	Drama	Movie	1.0	
793	Drama, Sci-Fi, Suspense	Music	12.0	
34221	Action, Sci-Fi	ONA	10.0	
184714	Supernatural, Suspense	TV	37.0	2006.0
16099	Sports	TV	25.0	2015.0
3920	Action, Fantasy, Mystery, Suspense	ONA	13.0	
1710	Sports	Movie	1.0	
1157	Slice of Life, Supernatural	TV	11.0	2017.0
1207	Sci-Fi	Movie	1.0	
19038	Comedy, Romance	TV	12.0	2020.0
19191	Adventure, Drama, Fantasy, Ecchi	TV	12.0	2021.0
1421	Sports	TV	25.0	2013.0
31400	Action, Adventure, Drama, Fantasy, Horror	TV	25.0	1997.0
2942	Action, Mystery	TV	11.0	2023.0
3963	Adventure, Drama, Fantasy, Mystery, Sci-Fi	Movie	1.0	
6887	Adventure, Drama, Fantasy, Mystery, Sci-Fi	TV	12.0	2022.0
1194	Drama	TV	11.0	2026.0
12165	Adventure, Comedy, Fantasy, Gourmet	TV	24.0	2024.0
11169	Drama, Romance, Supernatural	Movie	1.0	
14197	Award Winning, Mystery, Sci-Fi, Supernatural	Movie	1.0	
2285	Action, Supernatural	TV	12.0	2026.0
523	Slice of Life, Supernatural	TV	12.0	2024.0
8243	Award Winning, Drama, Sci-Fi, Suspense	Movie	1.0	
34788	Action, Adventure	TV	39.0	2018.0
236	Adventure, Mystery, Slice of Life, Supernatural	Movie	1.0	
1323	Drama, Sports	TV	13.0	2025.0
11279	Action, Adventure, Fantasy	TV	13.0	2025.0
187384	Action, Award Winning, Drama, Suspense	TV	25.0	2013.0
35086	Drama, Romance	TV	47.0	2006.0
32121	Avant Garde, Drama, Sci-Fi, Suspense	Movie	1.0	
901	Slice of Life, Supernatural	TV	11.0	2016.0
2478	Action, Mystery, Supernatural	Movie	1.0	
11839	Award Winning, Slice of Life, Supernatural	Movie	1.0	
1500	Slice of Life, Supernatural	TV	13.0	2011.0
6478	Sports	TV	12.0	2020.0
302	Comedy, Romance	TV Special	1.0	
43	Action, Adventure, Fantasy	ONA	52.0	
8137	Drama, Romance	TV	13.0	2025.0
609	Slice of Life	TV		2022.0
