card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
CBEHFCFCG,2018-08-31 22:14:50,地铁入站,0,0,263032105,地铁五号线,布吉,IGT-105,0,2018-09-01 00:00:00
CBCEBDIJE,2018-08-31 22:13:39,地铁入站,0,0,263032105,地铁五号线,布吉,IGT-105,0,2018-09-01 00:00:00
FFHEDIBCC,2018-08-31 23:11:06,地铁出站,665,700,263031101,地铁五号线,长龙,OGT-101,0,2018-09-01 00:00:00
FFDGIGIFH,2018-08-31 23:08:15,地铁出站,475,500,263031101,地铁五号线,长龙,OGT-101,0,2018-09-01 00:00:00
FHDICIDBD,2018-08-31 19:41:51,地铁入站,0,0,263032104,地铁五号线,布吉,IGT-104,0,2018-09-01 00:00:00
FHEDCGCCA,2018-08-31 22:30:08,地铁入站,0,0,263032105,地铁五号线,布吉,IGT-105,0,2018-09-01 00:00:00
CCJIAAIFJ,2018-08-31 23:12:04,地铁出站,380,400,263031101,地铁五号线,长龙,OGT-101,0,2018-09-01 00:00:00
CBHHGEJEC,2018-08-31 22:45:05,地铁入站,0,0,263032105,地铁五号线,布吉,IGT-105,0,2018-09-01 00:00:00
HHAAJFHIE,2018-08-31 19:51:21,地铁入站,0,0,263032104,地铁五号线,布吉,IGT-104,0,2018-09-01 00:00:00
HHAAJAEGB,2018-09-01 04:47:20,地铁出站,0,200,261032104,地铁三号线,双龙,AGM-104,0,2018-09-01 00:00:00
FHIFJCJBE,2018-08-31 22:49:31,地铁入站,0,0,263032105,地铁五号线,布吉,IGT-105,0,2018-09-01 00:00:00
FFHCHFCFG,2018-08-31 22:51:22,地铁入站,0,0,263032105,地铁五号线,布吉,IGT-105,0,2018-09-01 00:00:00
CBEBEJJCI,2018-08-31 20:18:50,地铁入站,0,0,263032104,地铁五号线,布吉,IGT-104,0,2018-09-01 00:00:00
FFIADAEJD,2018-08-31 22:49:56,地铁入站,0,0,263032105,地铁五号线,布吉,IGT-105,0,2018-09-01 00:00:00
HHAAJIJJE,2018-09-01 04:41:05,地铁入站,0,0,261026102,地铁三号线,荷坳,AGM-102,0,2018-09-01 00:00:00
CBGJBBJHH,2018-08-31 22:48:00,地铁入站,0,0,263032105,地铁五号线,布吉,IGT-105,0,2018-09-01 00:00:00
BIJCHFBCA,2018-08-31 22:55:34,地铁入站,0,0,263032105,地铁五号线,布吉,IGT-105,0,2018-09-01 00:00:00
HHJJAFJCF,2018-09-01 04:52:00,地铁出站,0,200,267027102,地铁九号线,红岭,OGT-102,0,2018-09-01 00:00:00
HHAAJHEFF,2018-09-01 04:54:21,地铁出站,0,200,267028117,地铁九号线,红岭南,双AGM-117,0,2018-09-01 00:00:00
FFFJEIFFC,2018-08-31 20:36:56,地铁入站,0,0,263032104,地铁五号线,布吉,IGT-104,0,2018-09-01 00:00:00
FIJDJIFCH,2018-08-31 20:43:21,地铁入站,0,0,263032104,地铁五号线,布吉,IGT-104,0,2018-09-01 00:00:00
HHJJAIHJH,2018-09-01 05:10:13,地铁出站,0,200,268016107,地铁一号线,世界之窗站,OGT-107,0,2018-09-01 00:00:00
HHJJAIAHC,2018-09-01 05:10:05,地铁出站,0,200,241026101,地铁十一号线,后亭,AGT-101,0,2018-09-01 00:00:00
HHJJAEIGB,2018-09-01 05:11:47,地铁出站,0,200,241015114,地铁十一号线,南山站,OGT-114,0,2018-09-01 00:00:00
HHJJBJJID,2018-09-01 05:11:29,地铁出站,0,200,241023105,地铁十一号线,塘尾站,OGT-105,0,2018-09-01 00:00:00
HHAAJJIAB,2018-09-01 05:16:33,地铁入站,0,0,268006109,地铁一号线,华强路站,AGT-109,0,2018-09-01 00:00:00
FFIACBHFC,2018-08-31 20:59:11,地铁入站,0,0,263032104,地铁五号线,布吉,IGT-104,0,2018-09-01 00:00:00
HHAAJAGBE,2018-09-01 05:28:02,地铁出站,0,200,263020143,地铁五号线,,,0,2018-09-01 00:00:00
FFCBDHHDI,2018-08-31 21:08:11,地铁入站,0,0,263032104,地铁五号线,布吉,IGT-104,0,2018-09-01 00:00:00
BJGCEABJ,2018-08-31 21:07:42,地铁入站,0,0,263032104,地铁五号线,布吉,IGT-104,0,2018-09-01 00:00:00
HHAAJBCGJ,2018-09-01 05:44:58,地铁入站,0,0,265025111,地铁七号线,福民,进AGM15-16,0,2018-09-01 00:00:00
HHACJJGIH,2018-09-01 05:11:56,地铁出站,0,200,262012119,地铁四号线,龙华,AGM-119,0,2018-09-01 00:00:00
HHAAJJDCE,2018-09-01 06:00:32,地铁出站,0,200,260018101,地铁二号线,登良,OGT-101,0,2018-09-01 00:00:00
HHAAJHCEH,2018-09-01 05:57:58,地铁入站,0,0,241023119,地铁十一号线,塘尾站,IGT-119,0,2018-09-01 00:00:00
HHAAJACBE,2018-09-01 06:00:33,地铁出站,0,200,241017118,地铁十一号线,宝安站,AGT-118,0,2018-09-01 00:00:00
HHJJBIJFD,2018-09-01 06:01:21,地铁入站,0,0,260029114,地铁二号线,景田,OGT-114,0,2018-09-01 00:00:00
HHACJAJDI,2018-09-01 05:31:52,地铁入站,0,0,262015103,地铁四号线,红山,AGM-103,0,2018-09-01 00:00:00
HHACJAJDI,2018-09-01 05:34:44,地铁出站,0,200,262015115,地铁四号线,红山,AGM-115,0,2018-09-01 00:00:00
HHACJACAG,2018-09-01 05:45:16,地铁出站,0,200,262012113,地铁四号线,龙华,AGM-113,0,2018-09-01 00:00:00
HHACJACAG,2018-09-01 05:21:46,地铁入站,0,0,262012109,地铁四号线,龙华,AGM-109,0,2018-09-01 00:00:00
HHACJJEFA,2018-09-01 05:49:08,地铁入站,0,0,262014102,地铁四号线,上塘,AGM-102,0,2018-09-01 00:00:00
HHJAJJCGE,2018-09-01 05:37:02,地铁入站,0,0,262019113,地铁四号线,上梅林,AGM-113,0,2018-09-01 00:00:00
HHACJJEAC,2018-09-01 05:50:10,地铁入站,0,0,262017105,地铁四号线,白石龙,AGM-105,0,2018-09-01 00:00:00
HHJAJJGGH,2018-09-01 05:21:56,地铁出站,0,200,262019125,地铁四号线,,,0,2018-09-01 00:00:00
HHACJJEAC,2018-09-01 05:51:34,地铁出站,0,200,262017110,地铁四号线,白石龙,AGM-110,0,2018-09-01 00:00:00
HHACJJEFA,2018-09-01 05:50:28,地铁出站,0,200,262014108,地铁四号线,上塘,AGM-108,0,2018-09-01 00:00:00
HHJJAIADA,2018-09-01 06:05:12,地铁入站,0,0,268004103,地铁一号线,大剧院站,IGT-103,0,2018-09-01 00:00:00
HHAAACGAI,2018-09-01 06:05:04,地铁入站,0,0,268007120,地铁一号线,岗厦站,AGT-120,0,2018-09-01 00:00:00
HHJJAGDJH,2018-09-01 06:03:08,地铁入站,0,0,268025124,地铁一号线,桃园,IGT-124,0,2018-09-01 00:00:00
