card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
FIABCIEIA,2018-09-01 07:55:49,巴士,160,200,224007382,西部公共汽车,M383线（混租电动）,粤B36399D,0,2018-09-01 00:00:00
FFFADHDDJ,2018-09-01 06:19:30,巴士,160,200,224007383,西部公共汽车,M383线（混租电动）,粤B34528D,0,2018-09-01 00:00:00
CCJEBBFEG,2018-09-01 06:33:10,巴士,160,200,224007383,西部公共汽车,M383线（混租电动）,粤B34528D,0,2018-09-01 00:00:00
FIAFJJIJE,2018-09-01 07:47:56,巴士,160,200,224007389,西部公共汽车,339线（混租电动）,粤B08097D,0,2018-09-01 00:00:00
FHICFDACG,2018-09-01 07:48:18,巴士,160,200,224007389,西部公共汽车,339线（混租电动）,粤B08097D,0,2018-09-01 00:00:00
FIJGAICHA,2018-09-01 07:23:54,巴士,160,200,224007391,西部公共汽车,339线,粤BBE340,0,2018-09-01 00:00:00
FIAFIJGHH,2018-09-01 07:43:27,巴士,160,200,224007391,西部公共汽车,339线,粤BBE340,0,2018-09-01 00:00:00
FHICGAEFD,2018-09-01 07:49:42,巴士,160,200,224007412,西部公共汽车,339线（混租电动）,粤B03596D,0,2018-09-01 00:00:00
CBDCCHEEB,2018-09-01 06:34:15,巴士,160,200,224007416,西部公共汽车,339线,粤BBE142,0,2018-09-01 00:00:00
BIFJIHCIE,2018-09-01 06:28:42,巴士,315,400,224007418,西部公共汽车,339线（混租电动）,粤B39899D,0,2018-09-01 00:00:00
FHEEAFFJB,2018-09-01 06:31:23,巴士,160,200,224007418,西部公共汽车,339线（混租电动）,粤B39899D,0,2018-09-01 00:00:00
FHEFGBBJB,2018-09-01 07:00:36,巴士,315,400,224007418,西部公共汽车,339线（混租电动）,粤B39899D,0,2018-09-01 00:00:00
CFCACIFJD,2018-09-01 07:13:06,巴士,240,300,224007418,西部公共汽车,339线（混租电动）,粤B39899D,0,2018-09-01 00:00:00
CFHABFCHH,2018-08-31 08:47:46,巴士,200,250,224007623,西部公共汽车,M225线（混租电动）,粤B43237D,0,2018-09-01 00:00:00
FIJFCIDBJ,2018-08-31 09:50:39,巴士,200,250,224007623,西部公共汽车,M225线（混租电动）,粤B43237D,0,2018-09-01 00:00:00
FHIAHBECD,2018-08-31 15:35:14,巴士,200,250,224007623,西部公共汽车,M225线（混租电动）,粤B43237D,0,2018-09-01 00:00:00
CFAEAEHHC,2018-08-31 15:54:34,巴士,200,250,224007623,西部公共汽车,M225线（混租电动）,粤B43237D,0,2018-09-01 00:00:00
FFHCGJJAI,2018-08-31 16:40:37,巴士,200,250,224007623,西部公共汽车,M225线（混租电动）,粤B43237D,0,2018-09-01 00:00:00
CBAFHHJAJ,2018-08-31 16:24:20,巴士,200,250,224007623,西部公共汽车,M225线（混租电动）,粤B43237D,0,2018-09-01 00:00:00
CBBDEAJDI,2018-08-31 16:51:39,巴士,160,250,224007623,西部公共汽车,M225线（混租电动）,粤B43237D,1,2018-09-01 00:00:00
FFEEFFHFH,2018-08-31 17:21:25,巴士,200,250,224007623,西部公共汽车,M225线（混租电动）,粤B43237D,0,2018-09-01 00:00:00
CCAEECHEJ,2018-08-31 17:21:40,巴士,160,250,224007623,西部公共汽车,M225线（混租电动）,粤B43237D,1,2018-09-01 00:00:00
BIFJBEBDH,2018-08-31 17:52:10,巴士,200,250,224007623,西部公共汽车,M225线（混租电动）,粤B43237D,0,2018-09-01 00:00:00
CFHBEBIGC,2018-09-01 07:10:15,巴士,200,250,224007625,西部公共汽车,M225线（混租电动）,粤B44029D,0,2018-09-01 00:00:00
CBBADFBII,2018-09-01 07:21:47,巴士,160,250,224007625,西部公共汽车,M225线（混租电动）,粤B44029D,1,2018-09-01 00:00:00
CFHJDCCJJ,2018-09-01 07:23:43,巴士,200,250,224007625,西部公共汽车,M225线（混租电动）,粤B44029D,0,2018-09-01 00:00:00
CFBGAAGCI,2018-09-01 07:34:55,巴士,200,250,224007625,西部公共汽车,M225线（混租电动）,粤B44029D,0,2018-09-01 00:00:00
FHDDBJAIC,2018-09-01 07:56:58,巴士,200,250,224007625,西部公共汽车,M225线（混租电动）,粤B44029D,0,2018-09-01 00:00:00
FIJBEHIGE,2018-09-01 08:52:28,地铁入站,0,0,262011105,地铁四号线,清湖,AGM-105,0,2018-09-01 00:00:00
FIJEIDCGJ,2018-09-01 08:52:38,地铁入站,0,0,262013104,地铁四号线,龙胜,AGM-104,0,2018-09-01 00:00:00
CBGCCFEFI,2018-09-01 08:55:34,地铁出站,380,400,263029103,地铁五号线,上水径,OGT-103,0,2018-09-01 00:00:00
FIJBDJEGE,2018-09-01 08:57:46,地铁入站,0,0,263026120,地铁五号线,五和,IGT-120,0,2018-09-01 00:00:00
FHEIFHDHF,2018-09-01 08:57:32,地铁入站,0,0,263032106,地铁五号线,布吉,IGT-106,0,2018-09-01 00:00:00
CCABBEICB,2018-09-01 08:58:16,地铁入站,0,0,263018110,地铁五号线,兴东,IGT-110,0,2018-09-01 00:00:00
FHGGIHBCB,2018-09-01 08:58:16,地铁出站,475,500,263018105,地铁五号线,兴东,OGT-105,0,2018-09-01 00:00:00
BEAHJGFCF,2018-09-01 08:57:55,地铁入站,0,0,263035102,地铁五号线,太安,IGT-102,0,2018-09-01 00:00:00
